"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
5046,"Ceyx erithaca macrocarus","Oberholser, 1917",,,,"Ceyx erithaca",3304,22200,"https://www.inaturalist.org/taxa/720813",
5047,"Ceyx erithaca motleyi","Chasen & Kloss, 1929",,,,"Ceyx erithaca",3304,,,
5052,"Ceyx fallax fallax","(Schlegel, 1866)",,,,"Ceyx fallax",3306,22201,"https://www.inaturalist.org/taxa/720814",
5051,"Ceyx fallax sangirensis","(Meyer, AB & Wiglesworth, 1898)",,,,"Ceyx fallax",3306,14881,"https://www.inaturalist.org/taxa/495912",
5057,"Ceyx lepidus cajeli","Wallace, 1863",,,,"Ceyx lepidus",3307,,,
5063,"Ceyx lepidus collectoris","Rothschild & Hartert, 1901",,,,"Ceyx lepidus",3307,,,
5059,"Ceyx lepidus dispar","Rothschild & Hartert, 1914",,,,"Ceyx lepidus",3307,,,
5066,"Ceyx lepidus gentianus","Tristram, 1879",,,,"Ceyx lepidus",3307,,,
5056,"Ceyx lepidus lepidus","Temminck, 1836",,,,"Ceyx lepidus",3307,,,
5064,"Ceyx lepidus malaitae","Mayr, 1935",,,,"Ceyx lepidus",3307,,,
5053,"Ceyx lepidus margarethae","Blasius, W, 1890",,,,"Ceyx lepidus",3307,,,
5062,"Ceyx lepidus meeki","Rothschild, 1901",,,,"Ceyx lepidus",3307,,,
5060,"Ceyx lepidus mulcatus","Rothschild & Hartert, 1914",,,,"Ceyx lepidus",3307,,,
5065,"Ceyx lepidus nigromaxilla","Rothschild & Hartert, 1905",,,,"Ceyx lepidus",3307,,,
5061,"Ceyx lepidus sacerdotis","Ramsay, EP, 1882",,,,"Ceyx lepidus",3307,,,
5058,"Ceyx lepidus solitarius","Temminck, 1836",,,,"Ceyx lepidus",3307,,,
5055,"Ceyx lepidus uropygialis","Gray, GR, 1861",,,,"Ceyx lepidus",3307,,,
5054,"Ceyx lepidus wallacii","Sharpe, 1868",,,,"Ceyx lepidus",3307,,,
5048,"Ceyx melanurus melanurus","(Kaup, 1848)",,,,"Ceyx melanurus",3305,19660,"https://www.inaturalist.org/taxa/718114",
5050,"Ceyx melanurus mindanensis","Steere, 1890",,,,"Ceyx melanurus",3305,19661,"https://www.inaturalist.org/taxa/718115",
5049,"Ceyx melanurus samarensis","Steere, 1890",,,,"Ceyx melanurus",3305,19662,"https://www.inaturalist.org/taxa/718116",
5085,"Ceyx pusillus aolae","(Ogilvie-Grant, 1914)",,,,"Ceyx pusillus",3312,22202,"https://www.inaturalist.org/taxa/720815",
5083,"Ceyx pusillus bougainvillei","(Ogilvie-Grant, 1914)",,,,"Ceyx pusillus",3312,22203,"https://www.inaturalist.org/taxa/720818",
5081,"Ceyx pusillus halli","(Mathews, 1912)",,,,"Ceyx pusillus",3312,22204,"https://www.inaturalist.org/taxa/720819",
5077,"Ceyx pusillus halmaherae","(Salomonsen, 1934)",,,,"Ceyx pusillus",3312,22205,"https://www.inaturalist.org/taxa/720820",
5078,"Ceyx pusillus laetior","(Rand, 1941)",,,,"Ceyx pusillus",3312,22206,"https://www.inaturalist.org/taxa/720821",
5082,"Ceyx pusillus masauji","(Mathews, 1927)",,,,"Ceyx pusillus",3312,22207,"https://www.inaturalist.org/taxa/720822",
